Date,Transaction,Name,Memo,Amount
7/11/2013,DEBIT,ANNUAL MEMBERSHIP FEE,00000;,-0.00
7/31/2013,DEBIT,WAL-MART #3208 SPRINGVIL,24455013211142001872249; 05411;,-89.00
7/31/2013,DEBIT,WAL-MART #3208 SPRINGVIL,24455013211142001872538; 05411;,-16.91
8/5/2013,CREDIT,MOBILE PAYMENT THANK YOU,*M0000; 00000;,50.00
8/9/2013,DEBIT,IN-N-OUT BURGER #239 AMERICAN F,24445003220100138014765; 05814;,-3.93
8/12/2013,DEBIT,BOMBAY HOUSE PROVO,24493983223207169100099; 05812;,-54.72
8/12/2013,DEBIT,MCDONALD'S F11107 PROVO,24427333223710038966490; 05814;,-2.15
8/19/2013,DEBIT,BYU BOOKSTORE PROVO,24337893229147013901836; 08220;,-111.20
8/20/2013,DEBIT,THE HOME DEPOT 4416 PROVO,24610433231010182274469; 05200;,-57.34
8/26/2013,DEBIT,DOMINO'S PIZZA 7501 734-930-3,24445003235100126070152; 05814;,-19.36
8/30/2013,DEBIT,EINSTEIN BROS BAGELS07 PROVO,24431053241200288401212; 05812;,-12.55
8/30/2013,DEBIT,EINSTEIN BROS BAGELS07 PROVO,24431053241200288401220; 05812;,-2.05
8/30/2013,DEBIT,BYU CREAMERY PROVO,24692163241000883415927; 05812;,-0.71
8/30/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,116.71
9/3/2013,DEBIT,UTAH-DMV OFFICES SALT LAKE,24692163243000635979129; 09399;,-139.75
9/3/2013,DEBIT,THE HOME DEPOT 4416 PROVO,24610433244010183097807; 05200;,-17.05
9/3/2013,DEBIT,PILOT Springvil,24628013242000137622638; 05542;,-43.70
9/3/2013,DEBIT,MIKES COMBO STOP PROVO,24015173242002024790943; 05541;,-1.95
9/3/2013,DEBIT,SMITHS FOOD #4136 PROVO,24445003242300154167430; 05411;,-8.73
9/3/2013,DEBIT,JIM'S AUTO ACCESSO PROVO,24224433243102000702401; 07538;,-25.00
9/5/2013,DEBIT,BYU CREAMERY PROVO,24692163247000079534238; 05812;,-0.71
9/6/2013,DEBIT,BYU CREAMERY PROVO,24692163248000520690018; 05812;,-0.75
