Date,Transaction,Name,Memo,Amount
6/10/2013,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-61.92
6/11/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,25.00
6/12/2013,DEBIT,Amazon.com AMZN.COM/B,24692163162000201451245; 05942;,-20.02
6/13/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,25.00
6/17/2013,DEBIT,Amazon Video On Demand 866-216-1,24692163167000891679670; 05735;,-1.99
6/19/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,25.00
6/24/2013,CREDIT,Amazon.com AMZN.COM/B,74692163172000912276041; 05942;,37.76
6/28/2013,CREDIT,CASH REWARDS STATEMENT CREDIT,00000;,223.13
7/3/2013,CREDIT,MOBILE PAYMENT THANK YOU,*M0000; 00000;,100.00
7/8/2013,DEBIT,Amazon Video On Demand 866-216-1,24692163188000712249930; 05735;,-2.99
7/10/2013,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-59.56
7/26/2013,CREDIT,MOBILE PAYMENT THANK YOU,*M0000; 00000;,2500.00
7/29/2013,DEBIT,UTAH VALLEY HOSPITAL PROVO,24717053208122082637781; 08062;,-50.00
7/31/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,100.00
8/1/2013,DEBIT,GAP #8405/THE OREM,24789303212212057499501; 05999;,-68.38
8/1/2013,DEBIT,GEICO 800-841-3,24492153212052000026440; 06300;,-456.40
8/6/2013,DEBIT,MOUNTAINWEST ANIMAL HO SPRINGVIL,24512393218488100024376; 00742;,-126.12
8/7/2013,DEBIT,ANTHROPOLOGIE.COM 972-550-2,24445003218100117048051; 05651;,-223.18
8/9/2013,DEBIT,INTEREST CHARGE ON PURCHASES,1; 00000;,-45.01
8/12/2013,DEBIT,QI *DIAPERS.COM 800-34273,24906413223002712212783; 05969;,-60.00
8/12/2013,DEBIT,Amazon Video On Demand 866-216-1,24692163221000840263323; 05735;,-2.99
8/13/2013,DEBIT,QI *DIAPERS.COM 800-34273,24906413223002724550592; 05969;,-24.99
8/13/2013,DEBIT,Amazon.com AMZN.COM/,24692163225000901329860; 05942;,-25.88
8/14/2013,DEBIT,Amazon.com AMZN.COM/,24692163225000019439544; 05942;,-74.99
8/16/2013,DEBIT,PILOT Springvil,24628013227000237807393; 05542;,-43.54
8/19/2013,DEBIT,Amazon Video On Demand 866-216-1,24692163230000811500009; 05735;,-3.99
8/27/2013,DEBIT,ALPINE PEDIATRICSRETAI PLEASANT,24270743239004885418809; 08099;,-30.00
8/28/2013,DEBIT,UTOBSTR&GYN8013577377 PROVO,24842183239001367649800; 08011;,-39.00
8/30/2013,CREDIT,INTERNET PAYMENT THANK YOU,*W0000; 00000;,76.00
